,train_acc_new,train_eod_new,test_acc_new,test_eod_new,train_acc_fedavg,train_eod_fedavg,test_acc_fedavg,test_eod_fedavg,train_tpr_new,train_fpr_new,test_tpr_new,test_fpr_new,train_tpr_fedavg,train_fpr_fedavg,test_tpr_fedavg,test_fpr_fedavg,train_acc_fairfed,train_eod_fairfed,test_acc_fairfed,test_eod_fairfed
0,0.8121700472353431,0.0025358805792036754,0.8166666666666667,0.03645833333333337,0.8427340928035565,0.15606320522519257,0.8555555555555555,0.15104166666666663,-0.0025358805792036754,-0.0010637225247025622,0.03645833333333337,-0.0018785618164247689,-0.15606320522519257,-0.05966928816293607,-0.15104166666666663,-0.044651969328865726,0.8427340928035565,0.12223370590178256,0.86,0.08854166666666669
1,0.8174492914698528,0.019130865011956766,0.8211111111111111,0.2209302325581396,0.8466240622395109,0.17217778510761111,0.8555555555555555,0.05283355644801428,-0.019130865011956766,0.003547892028527573,0.2209302325581396,-0.006157965194109771,-0.17217778510761111,-0.06037340886521622,0.0174418604651162,-0.05283355644801428,0.8460683523200889,0.1246598499216624,0.8588888888888889,0.08139534883720928
2,0.8343984440122256,0.0011299435028248594,0.8322222222222222,0.16612688131072584,0.856348985829397,0.11544256120527308,0.84,0.3013907410935417,-0.0011299435028248594,0.0009984831367900043,-0.16612688131072584,-0.015015399237806273,-0.11544256120527308,-0.04551573895954339,-0.3013907410935417,-0.06592884364061743,0.8549597110308419,0.07224576271186439,0.8366666666666667,0.17717660506763194
3,0.8263406501806058,0.012133285041651565,0.8244444444444444,0.019354838709677413,0.8438455126424007,0.10258964143426291,0.85,0.09462365591397848,-0.012133285041651565,0.003630563644416801,-0.019354838709677413,0.013824713763476777,-0.10258964143426291,-0.05007162176170686,-0.09462365591397848,-0.03434838278683962,0.8402333981661573,0.05876494023904383,0.8466666666666667,0.080184331797235
4,0.7982772992497916,0.0025795872660374364,0.7977777777777778,0.0069167161588012255,0.8380105584884691,0.2041495901639344,0.8355555555555556,0.2112015018773467,-0.001558230874316946,-0.0025795872660374364,0.004380475594493116,-0.0069167161588012255,-0.2041495901639344,-0.058630619100943845,-0.2112015018773467,-0.056475855452510396,0.8368991386496248,0.17719006147540983,0.8422222222222222,0.22997496871088863
5,0.8080022228396777,0.012294110136256697,0.8177777777777778,0.07568523430592394,0.8330091692136705,0.13670357331776806,0.8477777777777777,0.23324491600353664,-0.012294110136256697,0.0025107757295972366,-0.07568523430592394,-0.012762622681643465,-0.13670357331776806,-0.056644364921260924,-0.23324491600353664,-0.06635071090047394,0.8341205890525146,0.08819291173412619,0.8511111111111112,0.14376657824933692
6,0.8080022228396777,0.0051715899828550516,0.7944444444444444,0.12473610133708654,0.8396776882467352,0.16454462838565814,0.8277777777777777,0.2522871217452498,0.0051715899828550516,-0.002273882994706794,-0.12473610133708654,0.007222129273325523,-0.16454462838565814,-0.0565026697177727,-0.2522871217452498,-0.043527968323016,0.8421783828841345,0.12790316385133554,0.83,0.2318789584799437
7,0.8174492914698528,0.013266509433962237,0.8333333333333334,0.0997657434201461,0.8527368713531537,0.17836084905660377,0.8522222222222222,0.07175925925925926,0.013266509433962237,-0.004215529389285634,0.0997657434201461,-0.009666666666666664,-0.17836084905660377,-0.05296622458484457,-0.054568003307151725,-0.07175925925925926,0.8513475965545985,0.12769541778975746,0.8544444444444445,0.05555555555555555
8,0.8132814670741872,0.004521656354117054,0.8166666666666667,0.17213622291021674,0.8419005279244235,0.13196097096620663,0.8455555555555555,0.346749226006192,-0.004521656354117054,-0.0009455501487511814,-0.17213622291021674,-0.004027665898169497,-0.13196097096620663,-0.058481700145291846,-0.346749226006192,-0.05223003064729684,0.8421783828841345,0.09063144534348727,0.8422222222222222,0.3099071207430341
9,0.819672131147541,0.010920388827365568,0.8188888888888889,0.05244252873563221,0.8482911919977771,0.12581518395471886,0.8477777777777777,0.09141522988505751,-0.010920388827365568,-0.00030441400304413724,0.05244252873563221,-0.010582890070921988,-0.12581518395471886,-0.047515055257759245,-0.09141522988505751,-0.046561022458628844,0.8466240622395109,0.08102620893318568,0.8444444444444444,0.054956896551724144
